,action,autobiographical_memory,cognitive_control,emotion,eye_movements,inhibition,language,motor,pain,reading,social_cognition,visual_attention,visual_perception,visuospatial,working_memory
lingual,-0.04367563032338185,0.560839938582699,-0.49102374063161336,-0.2969013165844966,0.9951990199843013,-0.6088947411063478,-0.3266234935995802,-0.15311215286755708,-0.5238723004816148,0.48610172241679833,0.29002506008437934,0.6841248545328364,0.5709480476155915,0.7147367777985338,0.05734061434723131
medialorbitofrontal,-0.3208654372236409,2.435468989070362,-0.38202315973504675,2.258885219615149,-0.5051122197448644,-0.7062687132176703,-0.6336209233894708,-2.082434819798187,0.4793835829983502,-0.9256705918581606,1.2590366073954382,-0.27563597730642353,-0.06625210639806865,-0.5067333937363893,-0.9022082380115212
middletemporal,0.33552617744012586,1.1262498646466346,-0.1843767263900658,0.4241999637432873,-0.16910996537737935,-0.7259030412002725,2.354644858231274,-1.2436519539045139,-0.6463667788160096,1.512945152063669,1.2191607603396304,-0.1858891397979642,-0.055242600230319086,-0.03463152154349117,-0.5163396610701935
parahippocampal,-1.059744946885044,3.2702027235169893,-0.4575882407591114,0.3673751678681615,-0.9077674584840372,-0.8355515850555674,0.05114958558596531,-2.3488968379915747,-0.22469262762685707,-0.40120960467572003,0.17918847710361963,-0.30563276871814565,-0.29893126492242034,0.07499219727402157,-0.7779787227184397
paracentral,0.6940952396849779,-0.2622739332912627,-0.6063379096298214,-0.10946628129156653,0.4273356892060812,0.1907742819570948,-1.0580563450084082,5.021969969381143,1.6719208576980713,-0.3209622327515588,-0.3269022809197652,0.1318354021793756,0.2878775915984273,0.0051391176573901895,-0.7583628226435682
parsopercularis,0.8115171012862362,0.6559600795045915,0.7652788212001728,-0.3985539528760367,-0.8162321489982052,-0.2731771531769891,7.051319681328477,0.22954549375428795,0.030520873410408475,4.219811457037531,-0.42914971792562323,-0.5994922986743932,-0.275949325375538,-0.6068525103090343,1.7608154079377398
parsorbitalis,0.6067497864129938,0.6993940385634874,0.21848893418202944,0.787628268452222,-0.4002706843822097,-0.42612753545925414,3.090791353583472,-1.5479299893244107,-0.40890370258994035,1.3812011529009278,0.5756458007573881,-0.5787401058288817,0.004668203366651057,-0.26985412086327354,-0.6212583978764241
parstriangularis,0.7203007900034154,0.43146788307469147,-0.19258894886780384,0.6760511691196981,-0.7760589128880726,-0.6055611009558705,5.762095241876846,-1.37618321097267,-0.4487850172686628,4.121728673914202,0.6408882891531535,-0.8769562904219993,-0.5758664150639206,-0.6959129466882773,-0.11378624142189728
pericalcarine,0.2196386679595843,0.3799148596655631,-0.41412819173853066,-0.6054366793417449,1.6494157341488604,-0.5654991115711389,0.8787732807520593,0.09891114476110846,-0.26271019768866,1.1515449065111893,0.19155713581300937,0.4264588081373428,0.39632107364684166,-0.08944678784292404,0.07838917050107445
postcentral,1.4756361988695545,-0.4641981012317663,-0.5163212080461025,-0.8029286775398501,-0.16067920642339725,0.03707527529925003,-0.04685992348565784,5.190102968216642,2.385878798497481,0.13643751018466785,-0.3507737681878762,-0.07964148602806438,0.028273517234231597,-0.15219352429096164,-0.6305139905101782
